COMUNA;COMUNA CODE (PRE 1999);COMUNA CODE (2000-2008);COMUNA CODE (2008-2010);COMUNA CODE (2010-);REGION CODE (2000-2008);REGION CODE (2008-);;;;;;;;;;;;;
Arica;201;1201;15101;15101;1;15;;;;;;;;;;;;;
Camarones;202;1202;15102;15102;1;15;;;;;;;;;;;;;
Putre;205;1301;15201;15201;1;15;;;;;;;;;;;;;
General Lagos;206;1302;15202;15202;1;15;;;;;;;;;;;;;
Iquique;210;1101;1101;1101;1;1;;;;;;;;;;;;;
Camiña;212;1102;1402;1402;1;1;;;;;;;;;;;;;
Colchane;213;1103;1403;1403;1;1;;;;;;;;;;;;;
Huara;211;1104;1404;1404;1;1;;;;;;;;;;;;;
Pica;214;1105;1405;1405;1;1;;;;;;;;;;;;;
Pozo Almonte;215;1106;1401;1401;1;1;;;;;;;;;;;;;
Alto Hospicio;210;1107;1107;1107;1;1;;;;;;;;;;;;;
Antofagasta;230;2101;2101;2101;2;2;;;;;;;;;;;;;
Mejillones;231;2102;2102;2102;2;2;;;;;;;;;;;;;
Sierra Gorda;232;2103;2103;2103;2;2;;;;;;;;;;;;;
Taltal;233;2104;2104;2104;2;2;;;;;;;;;;;;;
Calama;225;2201;2201;2201;2;2;;;;;;;;;;;;;
Ollagüe;226;2202;2202;2202;2;2;;;;;;;;;;;;;
San Pedro de Atacama;227;2203;2203;2203;2;2;;;;;;;;;;;;;
Tocopilla;220;2301;2301;2301;2;2;;;;;;;;;;;;;
María Elena;221;2302;2302;2302;2;2;;;;;;;;;;;;;
Copiapó;240;3101;3101;3101;3;3;;;;;;;;;;;;;
Caldera;241;3102;3102;3102;3;3;;;;;;;;;;;;;
Tierra Amarilla;242;3103;3103;3103;3;3;;;;;;;;;;;;;
Chañaral;235;3201;3201;3201;3;3;;;;;;;;;;;;;
Diego de Almagro;236;3202;3202;3202;3;3;;;;;;;;;;;;;
Vallenar;245;3301;3301;3301;3;3;;;;;;;;;;;;;
Alto del Carmen;248;3302;3302;3302;3;3;;;;;;;;;;;;;
Freirina;246;3303;3303;3303;3;3;;;;;;;;;;;;;
Huasco;247;3304;3304;3304;3;3;;;;;;;;;;;;;
La Serena;250;4101;4101;4101;4;4;;;;;;;;;;;;;
Coquimbo;252;4102;4102;4102;4;4;;;;;;;;;;;;;
Andacollo;253;4103;4103;4103;4;4;;;;;;;;;;;;;
La Higuera;251;4104;4104;4104;4;4;;;;;;;;;;;;;
Paiguano;255;4105;4105;4105;4;4;;;;;;;;;;;;;
Vicuña;254;4106;4106;4106;4;4;;;;;;;;;;;;;
Illapel;270;4201;4201;4201;4;4;;;;;;;;;;;;;
Canela;273;4202;4202;4202;4;4;;;;;;;;;;;;;
Los Vilos;272;4203;4203;4203;4;4;;;;;;;;;;;;;
Salamanca;271;4204;4204;4204;4;4;;;;;;;;;;;;;
Ovalle;260;4301;4301;4301;4;4;;;;;;;;;;;;;
Combarbalá;263;4302;4302;4302;4;4;;;;;;;;;;;;;
Monte Patria;262;4303;4303;4303;4;4;;;;;;;;;;;;;
Punitaqui;264;4304;4304;4304;4;4;;;;;;;;;;;;;
Río Hurtado;261;4305;4305;4305;4;4;;;;;;;;;;;;;
Valparaíso;310;5101;5101;5101;5;5;;;;;;;;;;;;;
Casablanca;316;5102;5102;5102;5;5;;;;;;;;;;;;;
Concón;318;5103;5103;5103;5;5;;;;;;;;;;;;;
Juan Fernández;317;5104;5104;5104;5;5;;;;;;;;;;;;;
Puchuncaví;313;5105;5105;5105;5;5;;;;;;;;;;;;;
Quilpué;314;5106;5106;5801;5;5;;;;;;;;;;;;;
Quintero;312;5107;5107;5107;5;5;;;;;;;;;;;;;
Villa Alemana;315;5108;5108;5804;5;5;;;;;;;;;;;;;
Viña del Mar;311;5109;5109;5109;5;5;;;;;;;;;;;;;
Isla  de Pascua;330;5201;5201;5201;5;5;;;;;;;;;;;;;
Los Andes;285;5301;5301;5301;5;5;;;;;;;;;;;;;
Calle Larga;287;5302;5302;5302;5;5;;;;;;;;;;;;;
Rinconada;288;5303;5303;5303;5;5;;;;;;;;;;;;;
San Esteban;286;5304;5304;5304;5;5;;;;;;;;;;;;;
La Ligua;275;5401;5401;5401;5;5;;;;;;;;;;;;;
Cabildo;277;5402;5402;5402;5;5;;;;;;;;;;;;;
Papudo;279;5403;5403;5403;5;5;;;;;;;;;;;;;
Petorca;276;5404;5404;5404;5;5;;;;;;;;;;;;;
Zapallar;278;5405;5405;5405;5;5;;;;;;;;;;;;;
Quillota;300;5501;5501;5501;5;5;;;;;;;;;;;;;
Calera;302;5502;5502;5502;5;5;;;;;;;;;;;;;
Hijuelas;304;5503;5503;5503;5;5;;;;;;;;;;;;;
La Cruz;301;5504;5504;5504;5;5;;;;;;;;;;;;;
Limache;305;5505;5505;5802;5;5;;;;;;;;;;;;;
Nogales;303;5506;5506;5506;5;5;;;;;;;;;;;;;
Olmué;306;5507;5507;5803;5;5;;;;;;;;;;;;;
San Antonio;320;5601;5601;5601;5;5;;;;;;;;;;;;;
Algarrobo;324;5602;5602;5602;5;5;;;;;;;;;;;;;
Cartagena;321;5603;5603;5603;5;5;;;;;;;;;;;;;
El Quisco;323;5604;5604;5604;5;5;;;;;;;;;;;;;
El Tabo;322;5605;5605;5605;5;5;;;;;;;;;;;;;
Santo Domingo;325;5606;5606;5606;5;5;;;;;;;;;;;;;
San Felipe;290;5701;5701;5701;5;5;;;;;;;;;;;;;
Catemu;295;5702;5702;5702;5;5;;;;;;;;;;;;;
Llaillay;294;5703;5703;5703;5;5;;;;;;;;;;;;;
Panquehue;293;5704;5704;5704;5;5;;;;;;;;;;;;;
Putaendo;291;5705;5705;5705;5;5;;;;;;;;;;;;;
Santa María;292;5706;5706;5706;5;5;;;;;;;;;;;;;
Rancagua;335;6101;6101;6101;6;6;;;;;;;;;;;;;
Codegua;338;6102;6102;6102;6;6;;;;;;;;;;;;;
Coinco;349;6103;6103;6103;6;6;;;;;;;;;;;;;
Coltauco;348;6104;6104;6104;6;6;;;;;;;;;;;;;
Doñihue;350;6105;6105;6105;6;6;;;;;;;;;;;;;
Graneros;336;6106;6106;6106;6;6;;;;;;;;;;;;;
Las Cabras;351;6107;6107;6107;6;6;;;;;;;;;;;;;
Machalí;339;6108;6108;6108;6;6;;;;;;;;;;;;;
Malloa;343;6109;6109;6109;6;6;;;;;;;;;;;;;
Mostazal;337;6110;6110;6110;6;6;;;;;;;;;;;;;
Olivar;340;6111;6111;6111;6;6;;;;;;;;;;;;;
Peumo;347;6112;6112;6112;6;6;;;;;;;;;;;;;
Pichidegua;346;6113;6113;6113;6;6;;;;;;;;;;;;;
Quinta de Tilcoco;344;6114;6114;6114;6;6;;;;;;;;;;;;;
Rengo;342;6115;6115;6115;6;6;;;;;;;;;;;;;
Requínoa;341;6116;6116;6116;6;6;;;;;;;;;;;;;
San Vicente;345;6117;6117;6117;6;6;;;;;;;;;;;;;
Pichilemu;370;6201;6201;6201;6;6;;;;;;;;;;;;;
La Estrella;373;6202;6202;6202;6;6;;;;;;;;;;;;;
Litueche;372;6203;6203;6203;6;6;;;;;;;;;;;;;
Marchihue;374;6204;6204;6204;6;6;;;;;;;;;;;;;
Navidad;371;6205;6205;6205;6;6;;;;;;;;;;;;;
Paredones;375;6206;6206;6206;6;6;;;;;;;;;;;;;
San Fernando;355;6301;6301;6301;6;6;;;;;;;;;;;;;
Chépica;359;6302;6302;6302;6;6;;;;;;;;;;;;;
Chimbarongo;356;6303;6303;6303;6;6;;;;;;;;;;;;;
Lolol;361;6304;6304;6304;6;6;;;;;;;;;;;;;
Nancagua;358;6305;6305;6305;6;6;;;;;;;;;;;;;
Palmilla;363;6306;6306;6306;6;6;;;;;;;;;;;;;
Peralillo;364;6307;6307;6307;6;6;;;;;;;;;;;;;
Placilla;357;6308;6308;6308;6;6;;;;;;;;;;;;;
Pumanque;362;6309;6309;6309;6;6;;;;;;;;;;;;;
Santa Cruz;360;6310;6310;6310;6;6;;;;;;;;;;;;;
Talca;390;7101;7101;7101;7;7;;;;;;;;;;;;;
Constitución;397;7102;7102;7102;7;7;;;;;;;;;;;;;
Curepto;398;7103;7103;7103;7;7;;;;;;;;;;;;;
Empedrado;395;7104;7104;7104;7;7;;;;;;;;;;;;;
Maule;394;7105;7105;7105;7;7;;;;;;;;;;;;;
Pelarco;391;7106;7106;7106;7;7;;;;;;;;;;;;;
Pencahue;396;7107;7107;7107;7;7;;;;;;;;;;;;;
Río Claro;392;7108;7108;7108;7;7;;;;;;;;;;;;;
San Clemente;393;7109;7109;7109;7;7;;;;;;;;;;;;;
San Rafael;399;7110;7110;7110;7;7;;;;;;;;;;;;;
Cauquenes;410;7201;7201;7201;7;7;;;;;;;;;;;;;
Chanco;412;7202;7202;7202;7;7;;;;;;;;;;;;;
Pelluhue;411;7203;7203;7203;7;7;;;;;;;;;;;;;
Curicó;380;7301;7301;7301;7;7;;;;;;;;;;;;;
Hualañé;385;7302;7302;7302;7;7;;;;;;;;;;;;;
Licantén;386;7303;7303;7303;7;7;;;;;;;;;;;;;
Molina;383;7304;7304;7304;7;7;;;;;;;;;;;;;
Rauco;388;7305;7305;7305;7;7;;;;;;;;;;;;;
Romeral;382;7306;7306;7306;7;7;;;;;;;;;;;;;
Sagrada Familia;384;7307;7307;7307;7;7;;;;;;;;;;;;;
Teno;381;7308;7308;7308;7;7;;;;;;;;;;;;;
Vichuquén;387;7309;7309;7309;7;7;;;;;;;;;;;;;
Linares;400;7401;7401;7401;7;7;;;;;;;;;;;;;
Colbún;402;7402;7402;7402;7;7;;;;;;;;;;;;;
Longaví;403;7403;7403;7403;7;7;;;;;;;;;;;;;
Parral;404;7404;7404;7404;7;7;;;;;;;;;;;;;
Retiro;405;7405;7405;7405;7;7;;;;;;;;;;;;;
San Javier;407;7406;7406;7406;7;7;;;;;;;;;;;;;
Villa Alegre;406;7407;7407;7407;7;7;;;;;;;;;;;;;
Yerbas Buenas;401;7408;7408;7408;7;7;;;;;;;;;;;;;
Concepción;455;8101;8101;8101;8;8;;;;;;;;;;;;;
Coronel;463;8102;8102;8102;8;8;;;;;;;;;;;;;
Chiguayante;474;8103;8103;8103;8;8;;;;;;;;;;;;;
Florida;459;8104;8104;8104;8;8;;;;;;;;;;;;;
Hualqui;460;8105;8105;8105;8;8;;;;;;;;;;;;;
Lota;462;8106;8106;8106;8;8;;;;;;;;;;;;;
Penco;457;8107;8107;8107;8;8;;;;;;;;;;;;;
San Pedro de la Paz;464;8108;8108;8108;8;8;;;;;;;;;;;;;
Santa Juana;461;8109;8109;8109;8;8;;;;;;;;;;;;;
Talcahuano;456;8110;8110;8110;8;8;;;;;;;;;;;;;
Tomé;458;8111;8111;8111;8;8;;;;;;;;;;;;;
Hualpén;456;8112;8112;8112;8;8;;;;;;;;;;;;;
Lebu;465;8201;8201;8201;8;8;;;;;;;;;;;;;
Arauco;466;8202;8202;8202;8;8;;;;;;;;;;;;;
Cañete;469;8203;8203;8203;8;8;;;;;;;;;;;;;
Contulmo;470;8204;8204;8204;8;8;;;;;;;;;;;;;
Curanilahue;467;8205;8205;8205;8;8;;;;;;;;;;;;;
Los Álamos;468;8206;8206;8206;8;8;;;;;;;;;;;;;
Tirúa;471;8207;8207;8207;8;8;;;;;;;;;;;;;
Los Ángeles;440;8301;8301;8301;8;8;;;;;;;;;;;;;
Antuco;443;8302;8302;8302;8;8;;;;;;;;;;;;;
Cabrero;441;8303;8303;8303;8;8;;;;;;;;;;;;;
Laja;450;8304;8304;8304;8;8;;;;;;;;;;;;;
Mulchén;447;8305;8305;8305;8;8;;;;;;;;;;;;;
Nacimiento;449;8306;8306;8306;8;8;;;;;;;;;;;;;
Negrete;448;8307;8307;8307;8;8;;;;;;;;;;;;;
Quilaco;446;8308;8308;8308;8;8;;;;;;;;;;;;;
Quilleco;444;8309;8309;8309;8;8;;;;;;;;;;;;;
San Rosendo;451;8310;8310;8310;8;8;;;;;;;;;;;;;
Santa Bárbara;445;8311;8311;8311;8;8;;;;;;;;;;;;;
Tucapel;442;8312;8312;8312;8;8;;;;;;;;;;;;;
Yumbel;452;8313;8313;8313;8;8;;;;;;;;;;;;;
Alto Biobío;445;8314;8314;8314;8;8;;;;;;;;;;;;;
Chillán;415;8401;8401;8401;8;8;;;;;;;;;;;;;
Bulnes;425;8402;8402;8402;8;8;;;;;;;;;;;;;
Cobquecura;431;8403;8403;8403;8;8;;;;;;;;;;;;;
Coelemu;429;8404;8404;8404;8;8;;;;;;;;;;;;;
Coihueco;419;8405;8405;8405;8;8;;;;;;;;;;;;;
Chillán Viejo;435;8406;8406;8406;8;8;;;;;;;;;;;;;
El Carmen;422;8407;8407;8407;8;8;;;;;;;;;;;;;
Ninhue;433;8408;8408;8408;8;8;;;;;;;;;;;;;
Ñiquén;417;8409;8409;8409;8;8;;;;;;;;;;;;;
Pemuco;424;8410;8410;8410;8;8;;;;;;;;;;;;;
Pinto;420;8411;8411;8411;8;8;;;;;;;;;;;;;
Portezuelo;428;8412;8412;8412;8;8;;;;;;;;;;;;;
Quillón;426;8413;8413;8413;8;8;;;;;;;;;;;;;
Quirihue;432;8414;8414;8414;8;8;;;;;;;;;;;;;
Ránquil;427;8415;8415;8415;8;8;;;;;;;;;;;;;
San Carlos;416;8416;8416;8416;8;8;;;;;;;;;;;;;
San Fabián;418;8417;8417;8417;8;8;;;;;;;;;;;;;
San Ignacio;421;8418;8418;8418;8;8;;;;;;;;;;;;;
San Nicolás;434;8419;8419;8419;8;8;;;;;;;;;;;;;
Treguaco;430;8420;8420;8420;8;8;;;;;;;;;;;;;
Yungay;423;8421;8421;8421;8;8;;;;;;;;;;;;;
Temuco;490;9101;9101;9101;9;9;;;;;;;;;;;;;
Carahue;506;9102;9102;9102;9;9;;;;;;;;;;;;;
Cunco;494;9103;9103;9103;9;9;;;;;;;;;;;;;
Curarrehue;496;9104;9104;9104;9;9;;;;;;;;;;;;;
Freire;499;9105;9105;9105;9;9;;;;;;;;;;;;;
Galvarino;508;9106;9106;9106;9;9;;;;;;;;;;;;;
Gorbea;501;9107;9107;9107;9;9;;;;;;;;;;;;;
Lautaro;491;9108;9108;9108;9;9;;;;;;;;;;;;;
Loncoche;502;9109;9109;9109;9;9;;;;;;;;;;;;;
Melipeuco;495;9110;9110;9110;9;9;;;;;;;;;;;;;
Nueva Imperial;507;9111;9111;9111;9;9;;;;;;;;;;;;;
Padre Las Casas;509;9112;9112;9112;9;9;;;;;;;;;;;;;
Perquenco;492;9113;9113;9113;9;9;;;;;;;;;;;;;
Pitrufquén;500;9114;9114;9114;9;9;;;;;;;;;;;;;
Pucón;497;9115;9115;9115;9;9;;;;;;;;;;;;;
Saavedra;505;9116;9116;9116;9;9;;;;;;;;;;;;;
Teodoro Schmidt;504;9117;9117;9117;9;9;;;;;;;;;;;;;
Toltén;503;9118;9118;9118;9;9;;;;;;;;;;;;;
Vilcún;493;9119;9119;9119;9;9;;;;;;;;;;;;;
Villarrica;498;9120;9120;9120;9;9;;;;;;;;;;;;;
Cholchol;507;9121;9121;9121;9;9;;;;;;;;;;;;;
Angol;475;9201;9201;9201;9;9;;;;;;;;;;;;;
Collipulli;477;9202;9202;9202;9;9;;;;;;;;;;;;;
Curacautín;479;9203;9203;9203;9;9;;;;;;;;;;;;;
Ercilla;480;9204;9204;9204;9;9;;;;;;;;;;;;;
Lonquimay;478;9205;9205;9205;9;9;;;;;;;;;;;;;
Los Sauces;485;9206;9206;9206;9;9;;;;;;;;;;;;;
Lumaco;483;9207;9207;9207;9;9;;;;;;;;;;;;;
Purén;484;9208;9208;9208;9;9;;;;;;;;;;;;;
Renaico;476;9209;9209;9209;9;9;;;;;;;;;;;;;
Traiguén;482;9210;9210;9210;9;9;;;;;;;;;;;;;
Victoria;481;9211;9211;9211;9;9;;;;;;;;;;;;;
Valdivia;510;10501;14101;14101;10;14;;;;;;;;;;;;;
Corral;515;10502;14102;14102;10;14;;;;;;;;;;;;;
Futrono;514;10503;14202;14202;10;14;;;;;;;;;;;;;
La Unión;518;10504;14201;14201;10;14;;;;;;;;;;;;;
Lago Ranco;521;10505;14203;14203;10;14;;;;;;;;;;;;;
Lanco;512;10506;14103;14103;10;14;;;;;;;;;;;;;
Los Lagos;513;10507;14104;14104;10;14;;;;;;;;;;;;;
Máfil;516;10508;14105;14105;10;14;;;;;;;;;;;;;
Mariquina;511;10509;14106;14106;10;14;;;;;;;;;;;;;
Paillaco;519;10510;14107;14107;10;14;;;;;;;;;;;;;
Panguipulli;517;10511;14108;14108;10;14;;;;;;;;;;;;;
Río Bueno;520;10512;14204;14204;10;14;;;;;;;;;;;;;
Puerto Montt;535;10101;10101;10101;10;10;;;;;;;;;;;;;Del Reloncaví
Calbuco;538;10102;10102;10102;10;10;;;;;;;;;;;;;Del Reloncaví
Cochamó;537;10103;10103;10103;10;10;;;;;;;;;;;;;Del Reloncaví
Fresia;541;10104;10104;10104;10;10;;;;;;;;;;;;;Del Reloncaví
Frutillar;543;10105;10105;10105;10;10;;;;;;;;;;;;;Del Reloncaví
Los Muermos;540;10106;10106;10106;10;10;;;;;;;;;;;;;Del Reloncaví
Llanquihue;542;10107;10107;10107;10;10;;;;;;;;;;;;;Del Reloncaví
Maullín;539;10108;10108;10108;10;10;;;;;;;;;;;;;Del Reloncaví
Puerto Varas;536;10109;10109;10109;10;10;;;;;;;;;;;;;Del Reloncaví
Castro;545;10201;10201;10201;10;10;;;;;;;;;;;;;Chiloé
Ancud;546;10202;10202;10202;10;10;;;;;;;;;;;;;Chiloé
Chonchi;552;10203;10203;10203;10;10;;;;;;;;;;;;;Chiloé
Curaco de Vélez;549;10204;10204;10204;10;10;;;;;;;;;;;;;Chiloé
Dalcahue;548;10205;10205;10205;10;10;;;;;;;;;;;;;Chiloé
Puqueldón;551;10206;10206;10206;10;10;;;;;;;;;;;;;Chiloé
Queilén;553;10207;10207;10207;10;10;;;;;;;;;;;;;Chiloé
Quellón;554;10208;10208;10208;10;10;;;;;;;;;;;;;Chiloé
Quemchi;547;10209;10209;10209;10;10;;;;;;;;;;;;;Chiloé
Quinchao;550;10210;10210;10210;10;10;;;;;;;;;;;;;Chiloé
Osorno;525;10301;10301;10301;10;10;;;;;;;;;;;;;
Puerto Octay;528;10302;10302;10302;10;10;;;;;;;;;;;;;
Purranque;529;10303;10303;10303;10;10;;;;;;;;;;;;;
Puyehue;527;10304;10304;10304;10;10;;;;;;;;;;;;;
Río Negro;530;10305;10305;10305;10;10;;;;;;;;;;;;;
San Juan de la Costa;531;10306;10306;10306;10;10;;;;;;;;;;;;;
San Pablo;526;10307;10307;10307;10;10;;;;;;;;;;;;;
Chaitén;560;10401;10401;10401;10;10;;;;;;;;;;;;;Del Reloncaví
Futaleufú;562;10402;10402;10402;10;10;;;;;;;;;;;;;Del Reloncaví
Hualaihué;561;10403;10403;10403;10;10;;;;;;;;;;;;;Del Reloncaví
Palena;563;10404;10404;10404;10;10;;;;;;;;;;;;;Del Reloncaví
Coihaique;565;11101;11101;11101;11;11;;;;;;;;;;;;;
Lago Verde;566;11102;11102;11102;11;11;;;;;;;;;;;;;
Aisén;570;11201;11201;11201;11;11;;;;;;;;;;;;;
Cisnes;571;11202;11202;11202;11;11;;;;;;;;;;;;;
Guaitecas;572;11203;11203;11203;11;11;;;;;;;;;;;;;
Cochrane;580;11301;11301;11301;11;11;;;;;;;;;;;;;
O'Higgins;581;11302;11302;11302;11;11;;;;;;;;;;;;;
Tortel;582;11303;11303;11303;11;11;;;;;;;;;;;;;
Chile Chico;575;11401;11401;11401;11;11;;;;;;;;;;;;;
Río Ibáñez;576;11402;11402;11402;11;11;;;;;;;;;;;;;
Punta Arenas;590;12101;12101;12101;12;12;;;;;;;;;;;;;
Laguna Blanca;592;12102;12102;12102;12;12;;;;;;;;;;;;;
Río Verde;591;12103;12103;12103;12;12;;;;;;;;;;;;;
San Gregorio;593;12104;12104;12104;12;12;;;;;;;;;;;;;
Cabo de Hornos;600;12201;12201;12201;12;12;;;;;;;;;;;;;
Antártica;601;12202;12202;12202;12;12;;;;;;;;;;;;;
Porvenir;595;12301;12301;12301;12;12;;;;;;;;;;;;;
Primavera;596;12302;12302;12302;12;12;;;;;;;;;;;;;
Timaukel;597;12303;12303;12303;12;12;;;;;;;;;;;;;
Natales;585;12401;12401;12401;12;12;;;;;;;;;;;;;
Torres del Paine;586;12402;12402;12402;12;12;;;;;;;;;;;;;
Santiago;605;13101;13101;13101;13;13;;;;;;;;;;;;;
Cerrillos;629;13102;13102;13102;13;13;;;;;;;;;;;;;
Cerro Navia;634;13103;13103;13103;13;13;;;;;;;;;;;;;
Conchalí;607;13104;13104;13104;13;13;;;;;;;;;;;;;
El Bosque;625;13105;13105;13105;13;13;;;;;;;;;;;;;
Estación Central;628;13106;13106;13106;13;13;;;;;;;;;;;;;
Huechuraba;608;13107;13107;13107;13;13;;;;;;;;;;;;;
Independencia;606;13108;13108;13108;13;13;;;;;;;;;;;;;
La Cisterna;624;13109;13109;13109;13;13;;;;;;;;;;;;;
La Florida;618;13110;13110;13110;13;13;;;;;;;;;;;;;
La Granja;620;13111;13111;13111;13;13;;;;;;;;;;;;;
La Pintana;621;13112;13112;13112;13;13;;;;;;;;;;;;;
La Reina;615;13113;13113;13113;13;13;;;;;;;;;;;;;
Las Condes;613;13114;13114;13114;13;13;;;;;;;;;;;;;
Lo Barnechea;612;13115;13115;13115;13;13;;;;;;;;;;;;;
Lo Espejo;627;13116;13116;13116;13;13;;;;;;;;;;;;;
Lo Prado;632;13117;13117;13117;13;13;;;;;;;;;;;;;
Macul;616;13118;13118;13118;13;13;;;;;;;;;;;;;
Maipú;630;13119;13119;13119;13;13;;;;;;;;;;;;;
Ñuñoa;614;13120;13120;13120;13;13;;;;;;;;;;;;;
Pedro Aguirre Cerda;626;13121;13121;13121;13;13;;;;;;;;;;;;;
Peñalolén;617;13122;13122;13122;13;13;;;;;;;;;;;;;
Providencia;610;13123;13123;13123;13;13;;;;;;;;;;;;;
Pudahuel;633;13124;13124;13124;13;13;;;;;;;;;;;;;
Quilicura;636;13125;13125;13125;13;13;;;;;;;;;;;;;
Quinta Normal;631;13126;13126;13126;13;13;;;;;;;;;;;;;
Recoleta;609;13127;13127;13127;13;13;;;;;;;;;;;;;
Renca;635;13128;13128;13128;13;13;;;;;;;;;;;;;
San Joaquín;619;13129;13129;13129;13;13;;;;;;;;;;;;;
San Miguel;623;13130;13130;13130;13;13;;;;;;;;;;;;;
San Ramón;622;13131;13131;13131;13;13;;;;;;;;;;;;;
Vitacura;611;13132;13132;13132;13;13;;;;;;;;;;;;;
Puente Alto;645;13201;13201;13201;13;13;;;;;;;;;;;;;
Pirque;647;13202;13202;13202;13;13;;;;;;;;;;;;;
San José de Maipo;646;13203;13203;13203;13;13;;;;;;;;;;;;;
Colina;640;13301;13301;13301;13;13;;;;;;;;;;;;;
Lampa;641;13302;13302;13302;13;13;;;;;;;;;;;;;
Tiltil;642;13303;13303;13303;13;13;;;;;;;;;;;;;
San Bernardo;650;13401;13401;13401;13;13;;;;;;;;;;;;;
Buin;651;13402;13402;13402;13;13;;;;;;;;;;;;;
Calera de Tango;653;13403;13403;13403;13;13;;;;;;;;;;;;;
Paine;652;13404;13404;13404;13;13;;;;;;;;;;;;;
Melipilla;660;13501;13501;13501;13;13;;;;;;;;;;;;;
Alhué;663;13502;13502;13502;13;13;;;;;;;;;;;;;
Curacaví;662;13503;13503;13503;13;13;;;;;;;;;;;;;
María Pinto;661;13504;13504;13504;13;13;;;;;;;;;;;;;
San Pedro;664;13505;13505;13505;13;13;;;;;;;;;;;;;
Talagante;670;13601;13601;13601;13;13;;;;;;;;;;;;;
El Monte;673;13602;13602;13602;13;13;;;;;;;;;;;;;
Isla de Maipo;672;13603;13603;13603;13;13;;;;;;;;;;;;;
Padre Hurtado;674;13604;13604;13604;13;13;;;;;;;;;;;;;
Peñaflor;671;13605;13605;13605;13;13;;;;;;;;;;;;;
